gen,nevals,avg,max,median,min,most_common,num_max,num_min,size,std
0,100,5568.53,8124.26,5429.7,4267.45,5525.27,1,1,100,820.448
1,75,4970,6721.58,4958.34,4267.45,5131.37,1,1,100,426.59
2,67,4663.52,5525.27,4519.38,4267.45,4906.06,1,1,100,261.096
3,81,4541.96,5677.38,4519.38,3988.62,4809.87,1,1,100,225.7
4,63,4541.23,7095.45,4519.38,3875.22,3875.22,1,1,100,396.674
5,68,4487.88,7544.68,4367.74,3875.22,4368,1,2,100,452.212
6,75,4419.56,7544.68,4317.79,3875.22,5436.93,1,4,100,442.381
7,75,4391.33,7078.79,4260.76,3701.38,4040.28,1,1,100,492.005
8,74,4232.92,6291.8,4215.62,3701.38,4521.21,1,2,100,384.273
9,66,4126.61,6956.43,3883.59,3701.38,4809.73,1,5,100,491.29
10,70,3940.87,5856.34,3875.22,3293.16,3877.23,1,1,100,354.481
11,71,3788.5,4574.5,3875.22,3253.13,3701.77,1,1,100,191.749
12,75,3722.53,5710.87,3701.38,3253.13,4040.2,1,1,100,391.543
13,71,3635.65,5416.19,3701.38,3253.13,3878.26,2,2,100,456.532
14,75,3578.74,5820.48,3293.16,3253.13,3253.56,1,6,100,536.423
15,75,3444.19,5521.66,3293.16,3253.13,5521.66,1,5,100,411.563
16,62,3485.21,6289.97,3293.16,3253.13,3254.03,1,3,100,566.948
17,71,3480.68,6059.22,3292.4,3253.13,3639.5,1,7,100,547.836
18,79,3417.75,5416.19,3288.22,3244.06,3987.22,1,1,100,370.908
19,77,3454.7,6951.83,3253.58,3253.13,3931.37,1,30,100,586.984
20,68,3417.18,6092.12,3253.13,3253.13,3366.97,1,53,100,461.905
21,68,3457.29,6092.12,3253.13,3253.13,3883.59,1,62,100,503.92
22,69,3375.02,4646.4,3253.13,3253.13,3931.19,1,68,100,263.142
23,67,3443.08,5415.97,3253.13,3253.13,4558.78,1,72,100,419.648
24,79,3442.59,5415.99,3253.13,3253.13,4141.96,1,70,100,411.662
25,71,3386.15,5415.99,3253.13,3253.13,3302.09,1,77,100,361.16
26,75,3412.54,5415.97,3253.13,3253.13,3537.5,1,71,100,381.66
27,74,3439.34,6094.65,3253.13,3253.13,4577.61,1,75,100,481.659
28,82,3451.94,5429.54,3253.13,3253.13,3898.13,1,65,100,406.251
29,74,3338.55,5120.06,3253.13,3253.08,3655.7,1,1,100,276.645
30,81,3430.68,5110.01,3253.13,3253.08,3254.03,1,2,100,344.496
31,70,3380.93,5497.06,3253.13,3253.08,5497.06,1,5,100,338.116
32,73,3396.12,5427.23,3253.13,3253.08,3671.71,1,14,100,371.521
33,82,3452.67,6355.34,3253.13,3253.08,3270.79,1,26,100,495.884
34,72,3465.79,5737.2,3253.13,3253.08,3297.82,1,39,100,479.065
35,84,3468.86,5415.97,3253.11,3253.08,3670.54,1,50,100,483.072
36,69,3412.78,7316.2,3253.08,3253.08,3907.18,1,65,100,499.639
37,78,3485.06,5413.01,3253.08,3253.08,5169.68,1,59,100,401.849
38,77,3461.29,5572.52,3253.08,3253.08,4851.55,1,66,100,447.449
39,68,3398.23,5388.19,3253.08,3242.25,3296.87,1,1,100,365.013
40,81,3363.78,5539.21,3253.08,3242.25,3894.16,1,1,100,319.345
41,70,3373.7,5197.32,3253.08,3242.25,4003.08,1,2,100,325.345
42,70,3369.19,5169.68,3253.08,3242.25,4002.91,1,1,100,287.805
43,74,3423.81,7316.2,3253.08,3242.25,3254.03,1,1,100,556.095
44,71,3409.55,4793.75,3253.08,3242.25,3670.5,1,4,100,320.24
45,72,3379.42,5415.97,3253.08,3242.25,3695.93,1,14,100,320.402
46,74,3425.52,8062.06,3251.09,3237.91,3908.25,1,1,100,555.394
47,68,3431.24,5727,3244.91,3237.91,4797.09,1,3,100,465.98
48,82,3450.71,5727,3245.04,3234.88,4013.64,1,1,100,425.69
49,59,3339.23,3949.69,3242.25,3234.88,3242.83,1,3,100,225.268
50,69,3392.16,5298.81,3242.25,3234.06,3879.01,1,2,100,358.232
51,76,3396.62,5740.5,3239.59,3233.07,3293.37,1,1,100,412.406
52,70,3371.24,5169.68,3238.4,3233.07,3899.88,1,2,100,316.219
53,76,3459.32,5675.57,3237.91,3233.07,4986.43,1,2,100,444.375
54,70,3374.46,6982.44,3234.88,3230.32,3894.78,1,1,100,430.582
55,70,3432.55,5781.15,3234.88,3230.32,3891.04,1,2,100,448.493
56,64,3360.82,4051.02,3234.06,3230.32,3560.61,1,2,100,246.561
57,65,3319.31,5681.51,3233.51,3230.32,3239.93,1,4,100,338.368
58,77,3369.36,4675.64,3233.07,3230.18,3935.78,1,1,100,311.844
59,66,3376.34,5144.71,3233.07,3226.86,3254.38,1,1,100,348.624
60,70,3368.77,5296.33,3233.07,3226.86,3891.93,1,1,100,324
61,65,3329.52,5438.76,3230.32,3226.86,3254.13,1,6,100,304.501
62,80,3357.31,5151.27,3230.32,3226.79,3230.18,1,1,100,302.846
63,72,3390.07,5779.8,3230.18,3226.79,3668.13,1,1,100,427.498
64,69,3366.6,5141.24,3230.18,3226.79,3253.09,1,2,100,357.157
65,68,3399.62,5142.72,3230.18,3226.79,3253.09,1,5,100,392.327
66,73,3410.14,5296.19,3226.88,3226.79,3226.89,1,1,100,434.267
67,76,3352.58,4506.82,3226.86,3226.79,4357.56,1,1,100,294.515
68,68,3417.68,6009.46,3226.81,3226.79,3246.28,1,3,100,521.418
69,80,3405.05,5182.97,3226.79,3226.71,4997.52,1,1,100,407.943
70,69,3349.43,5115.4,3226.79,3226.79,4359.31,1,16,100,325.003
71,77,3366.14,5565.21,3226.79,3226.79,4973.71,1,26,100,441.891
72,65,3384.17,5865.66,3226.79,3226.79,3247.48,1,45,100,435.85
73,72,3340.99,5286.42,3226.79,3226.79,4064.43,1,57,100,331.68
74,73,3437.83,5393.52,3226.79,3226.79,3876.9,1,67,100,485.058
75,75,3339.12,4365.56,3226.79,3226.79,4365.56,1,72,100,303.849
76,65,3340.54,5396.27,3226.79,3226.79,3235.12,1,74,100,352.818
77,68,3312.37,4588.57,3226.79,3226.79,4588.57,1,80,100,267.075
78,68,3440.44,6041.11,3226.79,3226.79,3226.89,1,69,100,528.519
79,76,3386.23,5891.83,3226.79,3226.79,4682.29,1,73,100,434.097
80,81,3416.21,6146.19,3226.79,3226.79,3894.51,1,68,100,507.148
81,79,3360.02,5937.9,3226.79,3226.79,4354.82,1,66,100,390.132
82,75,3350.45,4520.65,3226.79,3226.79,3894.16,1,67,100,310.301
83,79,3402.77,6580.09,3226.79,3226.79,6580.09,1,74,100,518.51
84,68,3351.86,5728.82,3226.79,3226.79,4359.31,1,74,100,361.08
85,76,3386.72,5441.58,3226.79,3226.79,3245.71,1,73,100,394.622
86,74,3360.81,4986.95,3226.79,3226.79,4354.82,1,69,100,349.975
87,81,3336.07,4682.29,3226.79,3226.79,4369.17,1,76,100,289.637
88,79,3394.3,5288.2,3226.79,3226.79,3992.08,1,71,100,409.384
89,78,3407.9,4936.3,3226.79,3226.79,4422.2,1,66,100,390.572
90,68,3367.79,5779.09,3226.79,3226.79,3673.64,1,62,100,374.731
91,70,3370.16,5892.43,3226.79,3226.79,4357.4,1,72,100,489.104
92,63,3343.47,5286.42,3226.79,3226.79,4354.81,1,77,100,340.132
93,74,3423.04,5779.6,3226.79,3226.79,5779.6,1,68,100,459.574
94,69,3297.44,4536.71,3226.79,3226.79,3265.27,1,80,100,238.069
95,63,3392.24,5892.34,3226.79,3226.79,4354.81,1,74,100,453.676
96,71,3364.05,4880.34,3226.79,3226.79,4880.34,1,69,100,349.089
97,78,3363.4,4360.08,3226.79,3226.48,4354.82,1,1,100,338.021
98,71,3426.14,5393.52,3226.79,3226.48,4017.6,1,3,100,463.818
99,70,3340.05,4936.3,3226.79,3226.48,3992.16,1,2,100,325.274
100,72,3374.53,4357.39,3226.79,3226.48,3875.74,3,2,100,331.586
101,74,3387.82,5892.34,3226.79,3226.48,4354.81,1,4,100,423.305
102,68,3385.41,5442.27,3226.79,3226.48,5442.27,1,10,100,402.727
103,63,3366.11,5892.33,3226.79,3226.48,3337.24,1,18,100,378.934
104,65,3384.99,4954.61,3226.79,3226.48,3291.27,1,32,100,357.933
105,70,3427.74,5115.26,3226.79,3226.48,3245.72,1,38,100,403.025
106,69,3378.8,5392.99,3226.79,3226.48,3248.81,1,47,100,366.486
107,74,3462.21,5431.39,3226.48,3226.48,3264.87,1,56,100,454.387
108,72,3386.88,6487.91,3226.48,3226.48,3883.07,1,62,100,442.23
109,64,3442.69,5427.76,3226.48,3226.48,3226.74,1,58,100,442.187
110,72,3353.7,4367.93,3226.48,3226.48,3562.96,1,64,100,294.762
111,74,3350.44,5393.52,3226.48,3226.48,3264.87,1,66,100,332.517
112,72,3360.15,4368.72,3226.48,3226.48,3337.24,1,65,100,290.03
113,73,3363.22,5003.37,3226.48,3226.48,3245.41,1,64,100,324.943
114,78,3451.23,4588.57,3226.48,3215.17,3878.41,1,1,100,399.775
115,72,3436.86,5779.42,3226.48,3215.17,5416.67,1,2,100,454.831
116,63,3360.54,4936.08,3226.48,3215.17,3226.74,1,7,100,355.367
117,64,3359.45,5390.27,3226.48,3215.17,3875.74,1,22,100,377.961
118,73,3381.9,4752.73,3226.48,3215.17,4752.73,1,39,100,344.913
119,76,3385.49,4368.99,3215.17,3215.17,3875.74,1,59,100,308.018
120,79,3400.28,4977.29,3215.17,3215.17,3229.9,1,71,100,353.055
121,67,3350.21,4752.73,3215.17,3215.17,3306.27,1,82,100,317.812
122,81,3337.47,4588.57,3215.17,3215.17,3966.97,1,82,100,277.999
123,78,3342.18,4407.9,3215.17,3215.17,3875.74,1,81,100,274.598
124,76,3315.66,4387.74,3215.17,3047.81,4039.13,1,1,100,254.013
125,67,3275.34,4419.65,3215.17,3047.81,3303.76,1,7,100,227.62
126,77,3326.52,5890.46,3215.17,3047.81,3453.43,1,14,100,363.271
127,67,3259.58,4468.03,3215.17,3047.81,3966.97,1,33,100,284.14
128,61,3208.11,5029.16,3047.81,3047.81,5029.16,1,59,100,300.4
129,72,3220.45,5796.75,3047.81,3047.81,4586.06,1,77,100,459.567
130,82,3193.2,5291.61,3047.81,3047.81,3875.22,1,82,100,361.513
131,60,3258.79,5534.24,3047.81,3047.81,3453.43,1,80,100,513.371
132,81,3266.48,5798.73,3047.81,3047.81,4662.63,1,76,100,509.304
133,63,3168.62,4977.3,3047.81,3047.81,3668.06,1,84,100,348.109
134,67,3178.56,5291.61,3047.81,3047.81,4977.3,1,82,100,371.496
135,72,3161.59,4964.2,3047.81,3047.81,3457.46,1,82,100,315.799
136,75,3184.06,5291.61,3047.81,3047.81,4577.76,1,83,100,388.057
137,71,3241.82,5675.55,3047.81,3047.81,5535.22,1,75,100,481.123
138,77,3181.83,5469.74,3047.81,3047.81,5469.74,1,82,100,376.789
139,76,3179.72,4964.2,3047.81,3047.81,3966.97,1,84,100,350.323
140,82,3253,5676.9,3047.81,3047.81,5287.01,1,75,100,489.358
141,77,3240.28,5291.61,3047.81,3047.81,5029.16,1,78,100,461.082
142,77,3287.93,5711.98,3047.81,3047.81,4931.59,1,77,100,559.922
143,73,3204.19,5029.16,3047.81,3047.81,3828.63,2,79,100,402.75
144,61,3203.1,5291.61,3047.81,3047.81,4518.5,1,83,100,414.574
145,76,3206.33,6075.56,3047.81,3047.81,3498.92,1,83,100,454.641
146,70,3239.24,5291.61,3047.81,3047.81,4681.17,2,79,100,496.559
147,71,3187.4,5291.61,3047.81,3047.81,3907.6,1,85,100,401.514
148,71,3253.12,5380.02,3047.81,3047.81,5344.22,1,78,100,519.095
149,68,3228.18,5711.98,3047.81,3047.81,3737.53,1,80,100,492.243
150,76,3247.17,5552.89,3047.81,3047.81,4577.91,2,76,100,499.775
151,67,3193,5159.72,3047.81,3047.81,4714.06,1,85,100,426.508
152,72,3208.7,5690.99,3047.81,3047.81,4714.06,1,82,100,499.319
153,76,3244.37,5436.46,3047.81,3047.81,3875.22,1,86,100,555.483
154,78,3347.88,5552.89,3047.81,3047.81,5379.96,2,78,100,668.952
155,77,3174.41,4258.48,3047.81,3047.81,3048.09,1,76,100,278.751
156,73,3153.52,5552.95,3047.81,3047.81,4578.03,1,86,100,362.517
157,74,3212.31,5552.89,3047.81,3047.81,3922.97,1,85,100,492.282
158,61,3164.21,5379.92,3047.81,3047.81,4578.03,1,89,100,396.106
159,68,3217.15,5534.24,3047.81,3047.81,5534.24,1,86,100,487.211
160,74,3200.8,5525.49,3047.81,3047.81,4581.93,1,86,100,453.438
161,69,3203.5,5552.89,3047.81,3047.81,3970.35,1,80,100,423.91
162,67,3190.07,5291.61,3047.81,2683.21,3837.85,1,1,100,368.923
163,73,3204.42,5705.8,3047.81,2683.21,3898.64,1,1,100,493.094
164,75,3328.16,6062.09,3047.81,3047.81,3272.56,1,77,100,666.441
165,71,3225.5,5796.75,3047.81,3047.81,5242.35,1,81,100,493.854
166,68,3236.07,5320.49,3047.81,3047.81,5320.49,1,76,100,407.423
167,73,3232.33,5429.49,3047.81,3047.81,3918.33,1,81,100,489.119
168,72,3215.55,5677.17,3047.81,3047.81,3875.22,1,84,100,479.12
169,74,3172.83,5291.61,3047.81,3047.81,4009.46,1,85,100,357.372
170,75,3297.56,5797.22,3047.81,3047.81,4040.62,1,78,100,594.98
171,68,3302.36,5537.85,3047.81,3047.81,4009.46,1,79,100,614.018
172,76,3310.85,5548.91,3047.81,3047.81,3898.13,1,75,100,580.583
173,69,3312.97,6289.22,3047.81,3047.81,5380,1,77,100,648.924
174,75,3155.13,5705.79,3047.81,3047.81,3854.71,1,87,100,412.262
175,64,3130.19,5797.22,3047.81,3047.81,3968.5,1,91,100,337.959
176,82,3254.62,5380.08,3047.81,3047.81,4577.31,1,82,100,547.906
177,66,3200.3,5552.89,3047.81,3047.81,4578.03,1,86,100,474.438
178,78,3265.23,6499.17,3047.81,3047.81,3883.37,1,79,100,594.161
179,73,3163.32,5551.97,3047.81,3047.81,5379.94,1,84,100,387.557
180,73,3186.67,5552.89,3047.81,3047.81,4009.46,2,84,100,453.433
181,75,3224.81,5553.24,3047.81,3047.81,3966.48,1,86,100,534.248
182,81,3257.8,5676.57,3047.81,3047.81,4578.03,1,82,100,553.476
183,73,3225.68,5552.89,3047.81,3047.81,5242.42,1,84,100,521.447
184,66,3328.5,5673.43,3047.81,3047.81,4583.3,1,79,100,634.676
185,68,3249.65,5673.43,3047.81,3047.81,3969.89,1,84,100,580.387
186,73,3212.38,5552.89,3047.81,3047.81,3884.35,1,86,100,497.036
187,73,3270.48,6499.17,3047.81,3047.81,4662.33,1,80,100,625.492
188,66,3215.69,5428.53,3047.81,3047.81,5428.53,1,86,100,479.582
189,72,3190.45,5705.82,3047.81,3047.81,3875.22,1,90,100,489.063
190,85,3273.57,5379.94,3047.81,3047.81,4034.96,1,77,100,492.744
191,75,3271.1,5549.16,3047.81,3047.81,3879.76,1,84,100,585.65
192,76,3210.34,5796.75,3047.81,3047.81,5796.75,1,85,100,505.794
193,77,3197.79,5549.16,3047.81,3047.81,3855.08,1,83,100,442.634
194,77,3248.4,5798.6,3047.81,3047.81,4578.03,1,86,100,596.612
195,76,3271.08,6777.03,3047.81,3047.81,3973.09,1,78,100,639.874
196,80,3204.62,5684.47,3047.81,3047.81,3907.6,1,84,100,509.788
197,76,3232.05,5672.56,3047.81,3047.81,5672.56,1,86,100,531.224
198,71,3207.3,5705.82,3047.81,3047.81,4578.03,1,86,100,508.823
199,80,3277.33,5997.55,3047.81,3047.81,4066.42,1,76,100,596.522
200,64,3142.69,5073.36,3047.81,3047.81,4519.38,1,88,100,316.844
